Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item Category,Close Amount,Disposition,var9
DEN,Denver International Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Medical/Science,0,Deny,""
DEN,Denver International Airport,Frontier Airlines,Passenger Property Loss,Checked Baggage,Cameras,152.1,Settle,""
DEN,Denver International Airport,Southwest Airlines,Passenger Property Loss,Checkpoint,Personal Electronics,0,Deny,""
DEN,Denver International Airport,Frontier Airlines,Property Damage,Checked Baggage,Sporting Equipment & Supplies,284.9,Settle,""
DEN,Denver International Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Clothing,0,Deny,""
DEN,Denver International Airport,UAL,Passenger Property Loss,Checked Baggage,Cameras,0,Deny,""
DEN,Denver International Airport,Frontier Airlines,Passenger Property Loss,Checked Baggage,Clothing,53.57,Approve in Full,""
DEN,Denver International Airport,Delta Air Lines,Property Damage,Checked Baggage,Sporting Equipment & Supplies,1445.45,Settle,""
DEN,Denver International Airport,Southwest Airlines,Property Damage,Checked Baggage,Travel Accessories,8.5,Approve in Full,""
DEN,Denver International Airport,American Airlines,Property Damage,Checkpoint,Sporting Equipment & Supplies,200,Settle,""
DEN,Denver International Airport,Delta Air Lines,Property Damage,Checkpoint,Travel Accessories,0,Deny,""
DEN,Denver International Airport,UAL,Passenger Property Loss,Checked Baggage,Jewelry & Watches,0,Deny,""
DEN,Denver International Airport,Southwest Airlines,Property Damage,Checkpoint,Baggage/Cases/Purses,55,Approve in Full,""
DEN,Denver International Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Hunting & Fishing Items,36,Approve in Full,""
DEN,Denver International Airport,UAL,Passenger Property Loss,Checkpoint,Jewelry & Watches,0,Deny,""
DEN,Denver International Airport,Southwest Airlines,Passenger Property Loss,Checkpoint,Clothing,128,Approve in Full,""
DEN,Denver International Airport,Frontier Airlines,Property Damage,Checkpoint,Jewelry & Watches,0,Deny,""
DEN,Denver International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Jewelry & Watches,0,Deny,""
DEN,Denver International Airport,UAL,Passenger Property Loss,Checkpoint,Other,0,Deny,""
DEN,Denver International Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Sporting Equipment & Supplies,0,Deny,""
DEN,Denver International Airport,Frontier Airlines,Property Damage,Checked Baggage,Household Items,32,Approve in Full,""
DEN,Denver International Airport,Southwest Airlines,Passenger Property Loss,Checkpoint,Personal Accessories,0,Deny,""
DEN,Denver International Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Currency,0,Deny,""
DEN,Denver International Airport,UAL,Property Damage,Checked Baggage,Computer & Accessories,344.52,Settle,""
DEN,Denver International Airport,Southwest Airlines,Passenger Property Loss,Checkpoint,Personal Electronics,59.95,Approve in Full,""
DEN,Denver International Airport,Delta Air Lines,Property Damage,Checked Baggage,Baggage/Cases/Purses,0,Deny,""
DEN,Denver International Airport,Delta Air Lines,Passenger Property Loss,Checkpoint,Books,464.57,Approve in Full,""
DEN,Denver International Airport,Frontier Airlines,Passenger Property Loss,Checkpoint,Food & Drink,0,Deny,""
DEN,Denver International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Sporting Equipment & Supplies,0,Deny,""
DEN,Denver International Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Clothing; Cosmetics & Grooming; Jewelry & Watches,0,Deny,""
DEN,Denver International Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Clothing,30,Approve in Full,""
DEN,Denver International Airport,UAL,Property Damage,Checked Baggage,Baggage/Cases/Purses,0,Deny,""
DEN,Denver International Airport,UAL,Property Damage,Checked Baggage,Clothing,0,Deny,""
DEN,Denver International Airport,Frontier Airlines,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming; Jewelry & Watches,250,Settle,""
DEN,Denver International Airport,American Airlines,Property Damage,Checked Baggage,Baggage/Cases/Purses; Travel Accessories,0,Deny,""
DEN,Denver International Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming; Jewelry & Watches,0,Deny,""
DEN,Denver International Airport,Southwest Airlines,Property Damage,Checked Baggage,Sporting Equipment & Supplies,1082.49,Settle,""
DEN,Denver International Airport,Spirit Airlines,Passenger Property Loss,Checked Baggage,Tools & Home Improvement Supplies,0,Deny,""
DEN,Denver International Airport,USAir,Passenger Property Loss,Checked Baggage,Household Items,0,Deny,""
DEN,Denver International Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Travel Accessories,10,Approve in Full,""
DEN,Denver International Airport,Frontier Airlines,Property Damage,Checkpoint,Computer & Accessories,348.59,Settle,""
DEN,Denver International Airport,Frontier Airlines,Property Damage,Checkpoint,Computer & Accessories,1173.79,Settle,""
DEN,Denver International Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Other,0,Deny,""
DEN,Denver International Airport,Southwest Airlines,Property Damage,Checkpoint,Travel Accessories,80,Approve in Full,""
DEN,Denver International Airport,Frontier Airlines,Passenger Property Loss,Checked Baggage,Jewelry & Watches; Jewelry & Watches,0,Deny,""
DEN,Denver International Airport,UAL,Property Damage,Checked Baggage,Computer & Accessories,99.99,Settle,""
DEN,Denver International Airport,UAL,Property Damage,Checked Baggage,Books,0,Deny,""
DEN,Denver International Airport,Southwest Airlines,Property Damage,Checked Baggage,Clothing,0,Deny,""
DEN,Denver International Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses,0,Deny,""
DEN,Denver International Airport,Frontier Airlines,Passenger Property Loss,Checked Baggage,Tools & Home Improvement Supplies,0,Deny,""
DEN,Denver International Airport,Frontier Airlines,Passenger Property Loss,Checked Baggage,Jewelry & Watches,0,Deny,""
DEN,Denver International Airport,Delta Air Lines,Property Damage,Checked Baggage,Travel Accessories,0,Deny,""
DEN,Denver International Airport,Frontier Airlines,Property Damage,Checked Baggage,Computer & Accessories,0,Deny,""
DEN,Denver International Airport,Frontier Airlines,Property Damage,Checked Baggage,Computer & Accessories,249,Settle,""
DFW,DallasFort Worth International Airport,British Airways,Property Damage,Checked Baggage,Baggage/Cases/Purses,0,Deny,""
DFW,DallasFort Worth International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Sporting Equipment & Supplies,0,Deny,""
DFW,DallasFort Worth International Airport,American Airlines,Property Damage,Checked Baggage,Baggage/Cases/Purses,279.99,Approve in Full,""
DFW,DallasFort Worth International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Clothing,0,Deny,""
DFW,DallasFort Worth International Airport,American Airlines,Property Damage,Checked Baggage,Baggage/Cases/Purses,0,Deny,""
DFW,DallasFort Worth International Airport,American Airlines,Property Damage,Checked Baggage,Baggage/Cases/Purses,49.99,Approve in Full,""
DFW,DallasFort Worth International Airport,American Airlines,Property Damage,Checked Baggage,Sporting Equipment & Supplies,0,Deny,""
DFW,DallasFort Worth International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Other,0,Deny,""
DFW,DallasFort Worth International Airport,American Airlines,Property Damage,Checked Baggage,Baggage/Cases/Purses,0,Deny,""
DFW,DallasFort Worth International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,0,Deny,""
DFW,DallasFort Worth International Airport,UAL,Property Damage,Checkpoint,Travel Accessories,334.99,Approve in Full,""
DFW,DallasFort Worth International Airport,Spirit Airlines,Property Damage,Checkpoint,Clothing,432.82,Approve in Full,""
DFW,DallasFort Worth International Airport,USAir,Passenger Property Loss,Checked Baggage,Food & Drink,0,Deny,""
DFW,DallasFort Worth International Airport,American Airlines,Property Damage,Checked Baggage,Computer & Accessories,0,Deny,""
DFW,DallasFort Worth International Airport,British Airways,Property Damage,Checked Baggage,Baggage/Cases/Purses,0,Deny,""
DFW,DallasFort Worth International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Other; Travel Accessories,0,Deny,""
DFW,DallasFort Worth International Airport,American Airlines,Passenger Property Loss,Checkpoint,Jewelry & Watches,0,Deny,""
DFW,DallasFort Worth International Airport,American Airlines,Property Damage,Checkpoint,Personal Electronics,60,Settle,""
DFW,DallasFort Worth International Airport,Delta Air Lines,Property Damage,Checkpoint,Jewelry & Watches,0,Deny,""
DFW,DallasFort Worth International Airport,American Airlines,Property Damage,Checkpoint,Computer & Accessories,300,Settle,""
DFW,DallasFort Worth International Airport,USAir,Property Damage,Checked Baggage,Household Items,25.68,Approve in Full,""
DFW,DallasFort Worth International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Cameras; Cameras; Cameras; Cameras; Cosmetics & Grooming,0,Deny,""
DFW,DallasFort Worth International Airport,American Airlines,Property Damage,Checked Baggage,Clothing,0,Deny,""
DFW,DallasFort Worth International Airport,American Airlines,Property Damage,Checked Baggage,Other,175,Approve in Full,""
DFW,DallasFort Worth International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Food & Drink,61,Approve in Full,""
DFW,DallasFort Worth International Airport,Spirit Airlines,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming; Personal Accessories,320,Settle,""
DFW,DallasFort Worth International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Travel Accessories,7,Approve in Full,""
DFW,DallasFort Worth International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Other,150,Approve in Full,""
DFW,DallasFort Worth International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses,0,Deny,""
DFW,DallasFort Worth International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Personal Accessories,194.54,Settle,""
DFW,DallasFort Worth International Airport,Delta Air Lines,Property Damage,Checked Baggage,Sporting Equipment & Supplies,199,Approve in Full,""
DFW,DallasFort Worth International Airport,American Airlines,Property Damage,Checked Baggage,Other,179.01,Approve in Full,""
DFW,DallasFort Worth International Airport,American Airlines,Property Damage,Checkpoint,Other,311.86,Approve in Full,""
DFW,DallasFort Worth International Airport,Alaska Airlines,Passenger Property Loss,Checked Baggage,Personal Accessories,279.95,Approve in Full,""
DFW,DallasFort Worth International Airport,American Airlines,Property Damage,Checkpoint,Personal Electronics,109,Approve in Full,""
DFW,DallasFort Worth International Airport,USAir,Passenger Property Loss,Checked Baggage,Personal Electronics,129,Approve in Full,""
DFW,DallasFort Worth International Airport,USAir,Property Damage,Checkpoint,Personal Accessories,276.04,Approve in Full,""
DFW,DallasFort Worth International Airport,USAir,Passenger Property Loss,Checked Baggage,Cameras,0,Deny,""
DFW,DallasFort Worth International Airport,American Airlines,Property Damage,Checked Baggage,Baggage/Cases/Purses,32,Approve in Full,""
DFW,DallasFort Worth International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Jewelry & Watches; Jewelry & Watches,0,Deny,""
DFW,DallasFort Worth International Airport,American Airlines,Passenger Property Loss,Checkpoint,Other,62.5,Settle,""
DFW,DallasFort Worth International Airport,Spirit Airlines,Passenger Property Loss,Checked Baggage,Travel Accessories,6.66,Approve in Full,""
DFW,DallasFort Worth International Airport,Avianca,Property Damage,Checked Baggage,Baggage/Cases/Purses,0,Deny,""
DFW,DallasFort Worth International Airport,American Airlines,Property Damage,Checked Baggage,Baggage/Cases/Purses,0,Deny,""
DFW,DallasFort Worth International Airport,American Airlines,Property Damage,Checked Baggage,Other,235,Approve in Full,""
DFW,DallasFort Worth International Airport,American Airlines,Property Damage,Checked Baggage,Sporting Equipment & Supplies,65,Settle,""
DFW,DallasFort Worth International Airport,Republic Airways,Property Damage,Checkpoint,Personal Accessories,0,Deny,""
DFW,DallasFort Worth International Airport,American Airlines,Property Damage,Checked Baggage,Computer & Accessories,0,Deny,""
DFW,DallasFort Worth International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Clothing; Personal Accessories; Personal Electronics,0,Deny,""
DFW,DallasFort Worth International Airport,Delta Air Lines,Property Damage,Checked Baggage,Other,0,Deny,""
DFW,DallasFort Worth International Airport,American Airlines,Property Damage,Checkpoint,Computer & Accessories,936.34,Settle,""
DFW,DallasFort Worth International Airport,Delta Air Lines,Property Damage,Checked Baggage,Baggage/Cases/Purses,0,Deny,""
DFW,DallasFort Worth International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Clothing,61.48,Settle,""
DFW,DallasFort Worth International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Clothing,25,Approve in Full,""
DFW,DallasFort Worth International Airport,Spirit Airlines,Property Damage,Checked Baggage,Computer & Accessories,0,Deny,""
DFW,DallasFort Worth International Airport,American Airlines,Passenger Property Loss,Checkpoint,Computer & Accessories,300,Settle,""
DFW,DallasFort Worth International Airport,British Airways,Passenger Property Loss,Checked Baggage,Food & Drink,150,Approve in Full,""
DFW,DallasFort Worth International Airport,American Airlines,Passenger Property Loss,Checkpoint,Cosmetics & Grooming; Other,75,Settle,""
DFW,DallasFort Worth International Airport,Spirit Airlines,Passenger Property Loss,Checked Baggage,Other,0,Deny,""
DFW,DallasFort Worth International Airport,American Airlines,Property Damage,Checkpoint,Computer & Accessories,810,Settle,""
DFW,DallasFort Worth International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Computer & Accessories,0,Deny,""
DFW,DallasFort Worth International Airport,American Airlines,Property Damage,Checkpoint,Baggage/Cases/Purses,298,Approve in Full,""
DFW,DallasFort Worth International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Automobile Parts & Accessories; Other,0,Deny,""
DFW,DallasFort Worth International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Clothing,0,Deny,""
DFW,DallasFort Worth International Airport,American Airlines,Property Damage,Checkpoint,Personal Accessories,0,Deny,""
DFW,DallasFort Worth International Airport,USAir,Passenger Property Loss,Checkpoint,Medical/Science,48.71,Approve in Full,""
DFW,DallasFort Worth International Airport,American Airlines,Property Damage,Checked Baggage,Books,0,Deny,""
DFW,DallasFort Worth International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Personal Accessories,0,Deny,""
DFW,DallasFort Worth International Airport,Air Canada,Passenger Property Loss,Checked Baggage,Personal Electronics,0,Deny,""
DFW,DallasFort Worth International Airport,Alaska Airlines,Passenger Property Loss,Checked Baggage,Clothing; Medical/Science,200,Approve in Full,""
DFW,DallasFort Worth International Airport,American Airlines,Property Damage,Checked Baggage,Musical Instruments & Accessories,0,Deny,""
DFW,DallasFort Worth International Airport,American Airlines,Property Damage,Checked Baggage,Baggage/Cases/Purses,120,Approve in Full,""
DFW,DallasFort Worth International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Computer & Accessories,0,Deny,""
DFW,DallasFort Worth International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses; Cosmetics & Grooming; Jewelry & Watches,0,Deny,""
DFW,DallasFort Worth International Airport,American Airlines,Property Damage,Checked Baggage,Baggage/Cases/Purses,0,Deny,""
DFW,DallasFort Worth International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses; Toys & Games,0,Deny,""
DFW,DallasFort Worth International Airport,British Airways,Passenger Property Loss,Checked Baggage,Audio/Video; Personal Electronics,68.22,Settle,""
DFW,DallasFort Worth International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Personal Electronics,0,Deny,""
DFW,DallasFort Worth International Airport,Alaska Airlines,Property Damage,Checkpoint,Personal Accessories,174.28,Approve in Full,""
DFW,DallasFort Worth International Airport,American Airlines,Property Damage,Checked Baggage,Baggage/Cases/Purses,275,Settle,""
DFW,DallasFort Worth International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Hunting & Fishing Items,59,Approve in Full,""
DFW,DallasFort Worth International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Computer & Accessories,0,Deny,""
DFW,DallasFort Worth International Airport,UAL,Property Damage,Checked Baggage,Cosmetics & Grooming,60.61,Settle,""
DFW,DallasFort Worth International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Travel Accessories,0,Deny,""
DFW,DallasFort Worth International Airport,American Airlines,Property Damage,Checked Baggage,Baggage/Cases/Purses,0,Deny,""
DFW,DallasFort Worth International Airport,Delta Air Lines,Passenger Property Loss,Checkpoint,Cosmetics & Grooming; Cosmetics & Grooming; Medical/Science,0,Deny,""
DFW,DallasFort Worth International Airport,American Airlines,Property Damage,Checked Baggage,Baggage/Cases/Purses; Clothing; Food & Drink,90,Settle,""
DFW,DallasFort Worth International Airport,American Airlines,Property Damage,Checkpoint,Baggage/Cases/Purses,125,Approve in Full,""
DFW,DallasFort Worth International Airport,American Airlines,Property Damage,Checkpoint,Computer & Accessories,180.26,Approve in Full,""
DFW,DallasFort Worth International Airport,UAL,Passenger Property Loss,Checkpoint,Personal Accessories,0,Deny,""
DFW,DallasFort Worth International Airport,USAir,Property Damage,Checked Baggage,Home Decor,150,Approve in Full,""
DFW,DallasFort Worth International Airport,Delta Air Lines,Property Damage,Checkpoint,Computer & Accessories,451.56,Approve in Full,""
DFW,DallasFort Worth International Airport,UAL,Passenger Property Loss,Checkpoint,Other,0,Deny,""
DFW,DallasFort Worth International Airport,American Airlines,Personal Injury,Checkpoint,Medical/Science,0,Deny,""
DFW,DallasFort Worth International Airport,American Airlines,Property Damage,Checked Baggage,Toys & Games,0,Deny,""
DFW,DallasFort Worth International Airport,American Airlines,Passenger Property Loss,Checkpoint,Travel Accessories,0,Deny,""
DFW,DallasFort Worth International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Computer & Accessories,0,Deny,""
DFW,DallasFort Worth International Airport,American Airlines,Property Damage,Checked Baggage,Hunting & Fishing Items,149.99,Approve in Full,""
DFW,DallasFort Worth International Airport,American Airlines,Property Damage,Checked Baggage,Sporting Equipment & Supplies,0,Deny,""
DFW,DallasFort Worth International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses,269.54,Approve in Full,""
DFW,DallasFort Worth International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Personal Accessories,525.63,Approve in Full,""
DFW,DallasFort Worth International Airport,Etihad Airways,Passenger Property Loss,Checkpoint,Jewelry & Watches,0,Deny,""
DFW,DallasFort Worth International Airport,American Airlines,Property Damage,Checked Baggage,Home Decor,0,Deny,""
DFW,DallasFort Worth International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Jewelry & Watches,0,Deny,""
DFW,DallasFort Worth International Airport,Spirit Airlines,Property Damage,Checkpoint,Personal Accessories,0,Deny,""
DFW,DallasFort Worth International Airport,American Airlines,Passenger Property Loss,Checkpoint,Sporting Equipment & Supplies,0,Deny,""
DFW,DallasFort Worth International Airport,American Airlines,Property Damage,Checkpoint,Computer & Accessories,46.8,Approve in Full,""
DFW,DallasFort Worth International Airport,Delta Air Lines,Property Damage,Checkpoint,Personal Electronics,92.17,Approve in Full,""
DFW,DallasFort Worth International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Home Decor; Household Items,0,Deny,""
DFW,DallasFort Worth International Airport,American Airlines,Property Damage,Checked Baggage,Baggage/Cases/Purses,120,Approve in Full,""
DFW,DallasFort Worth International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Personal Accessories,188.95,Approve in Full,""
DFW,DallasFort Worth International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Clothing,0,Deny,""
DFW,DallasFort Worth International Airport,American Airlines,Property Damage,Checked Baggage,Computer & Accessories,343.95,Approve in Full,""
DFW,DallasFort Worth International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Audio/Video; Cosmetics & Grooming; Cosmetics & Grooming; Household Items,0,Deny,""
DFW,DallasFort Worth International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Clothing,24,Approve in Full,""
DFW,DallasFort Worth International Airport,American Airlines,Property Damage,Checkpoint,Personal Electronics,300,Approve in Full,""
DFW,DallasFort Worth International Airport,American Airlines,Passenger Property Loss,Checkpoint,Currency,0,Deny,""
DFW,DallasFort Worth International Airport,American Airlines,Property Damage,Checked Baggage,Baggage/Cases/Purses; Clothing; Jewelry & Watches,0,Deny,""
DFW,DallasFort Worth International Airport,American Airlines,Passenger Property Loss,Checkpoint,Clothing,0,Deny,""
DFW,DallasFort Worth International Airport,American Airlines,Property Damage,Checkpoint,Computer & Accessories,143.1,Approve in Full,""
DHN,Dothan Regional Airport,Delta Air Lines,Property Damage,Checked Baggage,Personal Electronics,0,Deny,""
DHN,Dothan Regional Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Clothing,36.93,Approve in Full,""
DHN,Dothan Regional Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Hunting & Fishing Items,0,Deny,""
DHN,Dothan Regional Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Hunting & Fishing Items,260,Approve in Full,""
DHN,Dothan Regional Airport,Delta Air Lines,Property Damage,Checked Baggage,Clothing,0,Deny,""
DRO,Durango  La Plata County,USAir,Property Damage,Checked Baggage,Sporting Equipment & Supplies,305.19,Settle,""
DRO,Durango  La Plata County,UAL,Passenger Property Loss,Checked Baggage,Computer & Accessories,0,Deny,""
DSM,Des Moines International,Southwest Airlines,Property Damage,Checked Baggage,Baggage/Cases/Purses,0,Deny,""
DSM,Des Moines International,UAL,Property Damage,Checkpoint,Baggage/Cases/Purses,79,Approve in Full,""
DSM,Des Moines International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming; Jewelry & Watches; Personal Electronics,0,Deny,""
DSM,Des Moines International,Allegiant Air,Passenger Property Loss,Checked Baggage,Personal Electronics,0,Deny,""
DSM,Des Moines International,USAir,Property Damage,Checked Baggage,Other,120,Approve in Full,""
DSM,Des Moines International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Computer & Accessories; Personal Electronics,74.18,Approve in Full,""
DSM,Des Moines International,UAL,Passenger Property Loss,Checked Baggage,Clothing,80.25,Settle,""
DSM,Des Moines International,Southwest Airlines,Property Damage,Checked Baggage,Computer & Accessories,492.41,Approve in Full,""
DSM,Des Moines International,Delta Air Lines,Passenger Property Loss,Checked Baggage,Personal Electronics,67.48,Settle,""
DSM,Des Moines International,American Airlines,Passenger Property Loss,Checked Baggage,Clothing,169.99,Settle,""
DTW,Detroit Metropolitan Wayne County Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Travel Accessories,18.25,Approve in Full,""
DTW,Detroit Metropolitan Wayne County Airport,USAir,Passenger Property Loss,Checkpoint,Jewelry & Watches,0,Deny,""
DTW,Detroit Metropolitan Wayne County Airport,American Airlines,Property Damage,Checkpoint,Clothing,110,Approve in Full,""
DTW,Detroit Metropolitan Wayne County Airport,KLM Royal Dutch Airlines,Passenger Property Loss,Checked Baggage,Cameras,0,Deny,""
DTW,Detroit Metropolitan Wayne County Airport,Southwest Airlines,Property Damage,Checked Baggage,Baggage/Cases/Purses; Books,0,Deny,""
DTW,Detroit Metropolitan Wayne County Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Tools & Home Improvement Supplies,0,Deny,""
DTW,Detroit Metropolitan Wayne County Airport,Spirit Airlines,Passenger Property Loss,Checked Baggage,Other,59.95,Approve in Full,""
DTW,Detroit Metropolitan Wayne County Airport,USAir,Property Damage,Checkpoint,Computer & Accessories,400,Settle,""
DTW,Detroit Metropolitan Wayne County Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Travel Accessories,31.77,Approve in Full,""
DTW,Detroit Metropolitan Wayne County Airport,Delta Air Lines,Passenger Property Loss,Checkpoint,Clothing,0,Deny,""
DTW,Detroit Metropolitan Wayne County Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Personal Accessories,0,Deny,""
DTW,Detroit Metropolitan Wayne County Airport,Delta Air Lines,Passenger Property Loss,Checkpoint,Personal Electronics,0,Deny,""
DTW,Detroit Metropolitan Wayne County Airport,Southwest Airlines,Property Damage,Checked Baggage,Other,0,Deny,""
DTW,Detroit Metropolitan Wayne County Airport,Delta Air Lines,Passenger Property Loss,Checkpoint,Medical/Science,0,Deny,""
DTW,Detroit Metropolitan Wayne County Airport,Southwest Airlines,Property Damage,Checked Baggage,Other,30,Approve in Full,""
DTW,Detroit Metropolitan Wayne County Airport,American Airlines,Property Damage,Checked Baggage,Computer & Accessories,0,Deny,""
DTW,Detroit Metropolitan Wayne County Airport,American Airlines,Property Damage,Checked Baggage,Baggage/Cases/Purses; Travel Accessories,0,Deny,""
DTW,Detroit Metropolitan Wayne County Airport,Delta Air Lines,Property Damage,Checked Baggage,Baggage/Cases/Purses,50,Settle,""
DTW,Detroit Metropolitan Wayne County Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Other,0,Deny,""
DTW,Detroit Metropolitan Wayne County Airport,Spirit Airlines,Property Damage,Checked Baggage,Other; Other,10,Settle,""
DTW,Detroit Metropolitan Wayne County Airport,Delta Air Lines,Property Damage,Checked Baggage,Baggage/Cases/Purses,43,Approve in Full,""
DTW,Detroit Metropolitan Wayne County Airport,Southwest Airlines,Property Damage,Checkpoint,Personal Accessories,0,Deny,""
DTW,Detroit Metropolitan Wayne County Airport,Alaska Airlines,Property Damage,Checked Baggage,Medical/Science,400,Approve in Full,""
DTW,Detroit Metropolitan Wayne County Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Currency,0,Deny,""
DTW,Detroit Metropolitan Wayne County Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Travel Accessories,16.99,Approve in Full,""
DTW,Detroit Metropolitan Wayne County Airport,American Airlines,Passenger Property Loss,Checked Baggage,Hunting & Fishing Items; Other; Personal Electronics,0,Deny,""
DTW,Detroit Metropolitan Wayne County Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Other,0,Deny,""
DTW,Detroit Metropolitan Wayne County Airport,Delta Air Lines,Property Damage,Checkpoint,Personal Accessories,0,Deny,""
DTW,Detroit Metropolitan Wayne County Airport,USAir,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,106.53,Settle,""
DTW,Detroit Metropolitan Wayne County Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Jewelry & Watches; Other,0,Deny,""
DTW,Detroit Metropolitan Wayne County Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Automobile Parts & Accessories; Books,0,Deny,""
DTW,Detroit Metropolitan Wayne County Airport,Delta Air Lines,Property Damage,Checkpoint,Computer & Accessories,0,Deny,""
DTW,Detroit Metropolitan Wayne County Airport,Delta Air Lines,Property Damage,Checkpoint,Medical/Science,0,Deny,""
DTW,Detroit Metropolitan Wayne County Airport,Southwest Airlines,Property Damage,Checked Baggage,Clothing; Currency,0,Deny,""
DTW,Detroit Metropolitan Wayne County Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Jewelry & Watches,0,Deny,""
DTW,Detroit Metropolitan Wayne County Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Sporting Equipment & Supplies,0,Deny,""
DTW,Detroit Metropolitan Wayne County Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,0,Deny,""
DTW,Detroit Metropolitan Wayne County Airport,Delta Air Lines,Property Damage,Checkpoint,Personal Electronics,286.49,Settle,""
DTW,Detroit Metropolitan Wayne County Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming; Cosmetics & Grooming,0,Deny,""
DTW,Detroit Metropolitan Wayne County Airport,Delta Air Lines,Passenger Property Loss,Checkpoint,Personal Electronics,0,Deny,""
DTW,Detroit Metropolitan Wayne County Airport,Alaska Airlines,Property Damage,Checked Baggage,Clothing,50,Approve in Full,""
DTW,Detroit Metropolitan Wayne County Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Food & Drink; Medical/Science,0,Deny,""
DTW,Detroit Metropolitan Wayne County Airport,Delta Air Lines,Property Damage,Checkpoint,Home Decor,319.35,Approve in Full,""
DTW,Detroit Metropolitan Wayne County Airport,Direct Air,Passenger Property Loss,Checked Baggage,Other,0,Deny,""
