Job_Title,Department,Salary
POLICE OFFICER,DEPARTMENT OF POLICE,97974
ATTORNEY,COPA,82500
DETENTION AIDE,DEPARTMENT OF POLICE,65064
UNIT ASST,DAIS,75168
AVIATION SECURITY OFFICER,DEPARTMENT OF AVIATION,71448
LIEUTENANT,DEPARTMENT OF POLICE,141552
ASST COMMISSIONER,DEPT OF HOUSING,114684
POLICE OFFICER,DEPARTMENT OF POLICE,84522
PARAMEDIC,FIRE DEPARTMENT,93252
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT,64272
POLICE OFFICER,DEPARTMENT OF POLICE,88896
LIEUTENANT,DEPARTMENT OF POLICE,150318
POLICE OFFICER,DEPARTMENT OF POLICE,97974
FIREFIGHTER,FIRE DEPARTMENT,99876
SERGEANT,DEPARTMENT OF POLICE,133860
FIREFIGHTER-EMT,FIRE DEPARTMENT,94152
FIREFIGHTER-EMT,FIRE DEPARTMENT,94152
LIEUTENANT,DEPARTMENT OF POLICE,150318
SERGEANT,DEPARTMENT OF POLICE,133860
POLICE OFFICER,DEPARTMENT OF POLICE,97974
HEAD LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,82500
FIRE ENGINEER-EMT,FIRE DEPARTMENT,114654
SERGEANT,DEPARTMENT OF POLICE,133860
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,117690
POLICE OFFICER,DEPARTMENT OF POLICE,104934
SUPERVISING SANITARIAN,DEPARTMENT OF PUBLIC HEALTH,73332
POLICE OFFICER,DEPARTMENT OF POLICE,97974
DEPUTY DIR,BOARD OF ETHICS,143160
LIBRARIAN II,CHICAGO PUBLIC LIBRARY,99480
POLICE OFFICER,DEPARTMENT OF POLICE,97974
ACCOUNTING TECHNICIAN,DEPARTMENT OF FINANCE,99360
FIREFIGHTER,FIRE DEPARTMENT,62466
SERGEANT,DEPARTMENT OF POLICE,129666
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT,64272
POLICE OFFICER,DEPARTMENT OF POLICE,84522
PROJECT MANAGER,IG,134112
POLICE OFFICER,DEPARTMENT OF POLICE,79974
POLICE OFFICER,DEPARTMENT OF POLICE,101412
POLICE OFFICER,DEPARTMENT OF POLICE,97974
ADMINISTRATIVE ASST II,BUS AFFAIRS AND CONSUMER PROT,78804
LIBRARIAN I,CHICAGO PUBLIC LIBRARY,63504
ANIMAL CONTROL OFFICER,COMM ANIMAL CARE AND CONTROL,71436
PROJECTS ADMINISTRATOR,DEPT OF CULTURAL AFFAIRS,98520
LIEUTENANT-EMT,FIRE DEPARTMENT,130908
POLICE OFFICER,DEPARTMENT OF POLICE,93264
POLICE OFFICER,DEPARTMENT OF POLICE,111966
SERGEANT,DEPARTMENT OF POLICE,133860
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
ASST TO THE COMMISSIONER,DEPARTMENT OF PLANNING AND DEVELOPMENT,119436
CLERK IV - TIMEKEEPER,DEPT STREETS AND SANITATION,99360
FIREFIGHTER-EMT,FIRE DEPARTMENT,105936
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,79974
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,80448
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE COMMUNICATIONS OPERATOR I,OFFICE OF EMERGENCY MANAGEMENT,86016
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,121140
EQUIPMENT TRAINING SPECIALIST / MTD,DEPARTMENT OF AVIATION,86340
FIREFIGHTER-EMT,FIRE DEPARTMENT,94152
PERFORMANCE ANALYST,IG,72960
POLICE OFFICER,DEPARTMENT OF POLICE,97974
PARALEGAL II,DEPARTMENT OF PROCUREMENT SERV,62784
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,113568
POLICE OFFICER,DEPARTMENT OF POLICE,111966
FIRE ENGINEER-EMT,FIRE DEPARTMENT,122274
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,109704
POLICE OFFICER,DEPARTMENT OF POLICE,84522
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,109704
FIREFIGHTER-EMT,FIRE DEPARTMENT,94152
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT,96402
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,108822
CLERK III,FAMILY AND SUPPORT SERVICES,68556
LIEUTENANT,DEPARTMENT OF POLICE,145854
POLICE OFFICER,DEPARTMENT OF POLICE,56040
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,76122
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
SANITARIAN II,DEPARTMENT OF PUBLIC HEALTH,71052
PROJECT MANAGER,PUBLIC SAFETY ADMINISTRATION,102516
ASST COMMISSIONER,DEPARTMENT OF AVIATION,126156
POLICE OFFICER,DEPARTMENT OF POLICE,97974
PARAMEDIC,FIRE DEPARTMENT,62466
POLICE OFFICER,DEPARTMENT OF POLICE,56040
PARAMEDIC I/C,FIRE DEPARTMENT,104430
ADMINISTRATIVE ASST II,DEPARTMENT OF AVIATION,47532
FIREFIGHTER,FIRE DEPARTMENT,108036
POLICE OFFICER,DEPARTMENT OF POLICE,97974
DEPUTY COMMISSIONER,CHICAGO DEPT OF TRANSPORTATION,144216
DEPUTY COMMISSIONER,DEPARTMENT OF PUBLIC HEALTH,148296
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,84612
POLICE OFFICER,DEPARTMENT OF POLICE,101412
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,108822
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
FIREFIGHTER,FIRE DEPARTMENT,62466
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT,78384
SR PROGRAMMER/ANALYST - EXCLD,DEPARTMENT OF HUMAN RESOURCES,112164
POLICE OFFICER,DEPARTMENT OF POLICE,108822
CAREER PLACEMENT COUNSELOR,MAYORS OFFICE-DISABILITIES,72960
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,84612
STAFF ASST TO THE ALDERMAN,CITY COUNCIL,59100
LIEUTENANT,DEPARTMENT OF POLICE,150318
ADMINISTRATIVE ASST TO DEPUTY CORPORATION COUNSEL,DEPARTMENT OF LAW,94704
LIBRARIAN II,CHICAGO PUBLIC LIBRARY,99480
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
POLICE OFFICER,DEPARTMENT OF POLICE,101412
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
SUPERVISING TRAFFIC CONTROL AIDE,OFFICE OF EMERGENCY MANAGEMENT,71436
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,88896
BUILDING/CONSTRUCTION INSPECTOR,DEPARTMENT OF PUBLIC HEALTH,123660
SUPERVISING ENVIRONMENTAL ENGINEER,DEPARTMENT OF PUBLIC HEALTH,89076
AVIATION COMMUNICATIONS OPERATOR - TRAINER,DEPARTMENT OF AVIATION,98892
LIEUTENANT-EMT,FIRE DEPARTMENT,122976
AUDITOR I,DEPARTMENT OF FINANCE,67860
SERGEANT,DEPARTMENT OF POLICE,133860
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,79974
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,111966
FILTRATION ENGINEER II,DEPT OF WATER MANAGEMENT,108756
COMMANDER,FIRE DEPARTMENT,156396
SENIOR FINANCIAL ANALYST,OFFICE OF BUDGET & MANAGEMENT,78000
CIVIL ENGINEER III,CHICAGO DEPT OF TRANSPORTATION,82500
STAFF ASST TO THE ALDERMAN,CITY COUNCIL,67044
CHIEF CONTRACT EXPEDITER,DEPT OF WATER MANAGEMENT,93876
CAPTAIN-EMT,FIRE DEPARTMENT,147258
POLICE OFFICER,DEPARTMENT OF POLICE,88896
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,104934
SR LITIGATION COUNSEL - COPA,COPA,105624
PARAMEDIC FIELD CHIEF,FIRE DEPARTMENT,156396
FIREFIGHTER-EMT,FIRE DEPARTMENT,105936
LIEUTENANT-EMT,FIRE DEPARTMENT,135144
FIRST DEPUTY COMMISSIONER,FAMILY AND SUPPORT SERVICES,169968
PARAMEDIC I/C,FIRE DEPARTMENT,87408
PARAMEDIC I/C,FIRE DEPARTMENT,120084
CIVIL ENGINEER IV,CHICAGO DEPT OF TRANSPORTATION,129540
FIRE ENGINEER-EMT,FIRE DEPARTMENT,114654
DETENTION AIDE,DEPARTMENT OF POLICE,86016
CHIEF VOUCHER EXPEDITER,FAMILY AND SUPPORT SERVICES,108996
PROJECT COORD,DEPT OF ADMINISTRATIVE HEARING,103920
ALDERMAN,CITY COUNCIL,142776
CITY TREASURER,CITY TREASURER,161016
SUPERVISING FIRE COMMUNICATIONS OPERATOR,OFFICE OF EMERGENCY MANAGEMENT,129063.96
SERGEANT,DEPARTMENT OF POLICE,129666
POLICE OFFICER,DEPARTMENT OF POLICE,97974
FIREFIGHTER-EMT,FIRE DEPARTMENT,105936
POLICE OFFICER,DEPARTMENT OF POLICE,93264
SERGEANT,DEPARTMENT OF POLICE,125634
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,106170
POLICE COMMUNICATIONS OPERATOR I,OFFICE OF EMERGENCY MANAGEMENT,78384
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,84522
DEPUTY CHIEF ADMINISTRATOR,COPA,148296
POLICE OFFICER,DEPARTMENT OF POLICE,101412
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,97974
LIEUTENANT-EMT,FIRE DEPARTMENT,126840
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,108822
LABORATORY TECHNICIAN III,DEPARTMENT OF POLICE,53784
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,97974
WATER CHEMIST II,DEPT OF WATER MANAGEMENT,69972
LIBRARIAN I,CHICAGO PUBLIC LIBRARY,90108
TRAFFIC CONTROL AIDE,OFFICE OF EMERGENCY MANAGEMENT,44292
POLICE OFFICER,DEPARTMENT OF POLICE,84522
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
RECOVERY TEAM PROGRAM MGR,DEPARTMENT OF PUBLIC HEALTH,105624
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,101412
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,84612
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT,94368
POLICE OFFICER,DEPARTMENT OF POLICE,97974
ADMINISTRATIVE ASST III,DEPT OF ADMINISTRATIVE HEARING,90540
FIREFIGHTER-EMT,FIRE DEPARTMENT,62466
WARD SUPERINTENDENT,DEPT STREETS AND SANITATION,98220
POLICE OFFICER,DEPARTMENT OF POLICE,56040
SERGEANT,DEPARTMENT OF POLICE,121806
POLICE OFFICER,DEPARTMENT OF POLICE,104934
CITY PLANNER V,DEPARTMENT OF PLANNING AND DEVELOPMENT,102576
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE COMMUNICATIONS OPERATOR I,OFFICE OF EMERGENCY MANAGEMENT,68196
POLICE OFFICER,DEPARTMENT OF POLICE,88896
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,104934
HEAD LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,82500
LIBRARIAN III,CHICAGO PUBLIC LIBRARY,74712
POLICE OFFICER,DEPARTMENT OF POLICE,108822
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
AVIATION SECURITY OFFICER,DEPARTMENT OF AVIATION,94368
PUBLIC HEALTH NURSE IV,DEPARTMENT OF PUBLIC HEALTH,107328
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,56040
SERGEANT,DEPARTMENT OF POLICE,125634
STAFF ASST,BUS AFFAIRS AND CONSUMER PROT,108996
POLICE OFFICER,DEPARTMENT OF POLICE,93264
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,101118
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,97974
ATTORNEY,COPA,82500
WARRANT AND EXTRADITION AIDE,DEPARTMENT OF POLICE,74424
REFUSE COLLECTION COORD,DEPT STREETS AND SANITATION,85308
AMBULANCE COMMANDER,FIRE DEPARTMENT,138828
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT,74844
FIREFIGHTER,FIRE DEPARTMENT,99876
FIREFIGHTER,FIRE DEPARTMENT,62466
POLICE OFFICER,DEPARTMENT OF POLICE,93264
AVIATION SECURITY OFFICER,DEPARTMENT OF AVIATION,68196
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT,104814
SERGEANT,DEPARTMENT OF POLICE,129666
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,94152
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,97974
BUILDING/CONSTRUCTION INSPECTOR,DEPT OF BUILDINGS,102696
COMMUNITY ORGANIZER-CAPS,DEPARTMENT OF POLICE,57240
POLICE OFFICER,DEPARTMENT OF POLICE,104934
YOUTH SERVICES COORD,FAMILY AND SUPPORT SERVICES,75624
POLICE OFFICER / FLD TRNG OFFICER,DEPARTMENT OF POLICE,102906
LEGISLATIVE AIDE,CITY COUNCIL,61320
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,94152
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
AVIATION SECURITY OFFICER,DEPARTMENT OF AVIATION,58560
ADMINISTRATIVE SERVICES OFFICER II,DEPARTMENT OF AVIATION,119580
POLICE OFFICER,DEPARTMENT OF POLICE,93264
DETENTION AIDE,DEPARTMENT OF POLICE,62136
PARAMEDIC I/C,FIRE DEPARTMENT,101052
BUILDING/CONSTRUCTION INSPECTOR,DEPT OF BUILDINGS,118068
POLICE OFFICER,DEPARTMENT OF POLICE,108822
ASST CITY TREASURER,CITY TREASURER,104496
PROJECT MANAGER,CITY CLERK,85716
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,117690
POLICE OFFICER,DEPARTMENT OF POLICE,97974
GRANTS RESEARCH SPECIALIST,FAMILY AND SUPPORT SERVICES,85044
CAPTAIN-EMT,FIRE DEPARTMENT,147258
FIREFIGHTER-EMT,FIRE DEPARTMENT,110196
SENIOR DATA ENTRY OPERATOR,CHICAGO DEPT OF TRANSPORTATION,68556
ADMINISTRATIVE ASST III,DEPARTMENT OF PUBLIC HEALTH,57240
CLERK IV,CHICAGO PUBLIC LIBRARY,82500
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,97974
CLERK III,DEPARTMENT OF PUBLIC HEALTH,68556
SERGEANT,DEPARTMENT OF POLICE,125634
LIEUTENANT,DEPARTMENT OF POLICE,150318
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,97974
FIRE ENGINEER-EMT,FIRE DEPARTMENT,107166
TRAFFIC SIGNAL REPAIRMAN,CHICAGO DEPT OF TRANSPORTATION,117624
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,84612
FIREFIGHTER,FIRE DEPARTMENT,62466
SUPPORT SERVICES COORD,FAMILY AND SUPPORT SERVICES,94824
POLICE OFFICER,DEPARTMENT OF POLICE,101412
ASST COMMUNITY LIVING SPECIALIST,FAMILY AND SUPPORT SERVICES,90540
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,113568
ASST COMMISSIONER,BUS AFFAIRS AND CONSUMER PROT,114684
LEGISLATIVE AIDE,CITY COUNCIL,75492
SERGEANT,DEPARTMENT OF POLICE,129666
POLICE OFFICER,DEPARTMENT OF POLICE,111966
MANAGER OF SECURITY COMMUNICATIONS CENTER,DEPARTMENT OF AVIATION,125088
POLICE COMMUNICATIONS OPERATOR I,OFFICE OF EMERGENCY MANAGEMENT,71448
POLICE COMMUNICATIONS OPERATOR I,OFFICE OF EMERGENCY MANAGEMENT,90036
ADMINISTRATIVE ASST II,CHICAGO DEPT OF TRANSPORTATION,78804
POLICE OFFICER (ASSIGNED AS TRAFFIC SPECIALIST),DEPARTMENT OF POLICE,110178
POLICE OFFICER,DEPARTMENT OF POLICE,56040
COMMUNICABLE DISEASE CONTROL INVESTIGATOR II,DEPARTMENT OF PUBLIC HEALTH,59004
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
POLICE OFFICER/EXPLSV DETECT K9 HNDLR,DEPARTMENT OF POLICE,110178
SUPERVISING TRAFFIC CONTROL AIDE,OFFICE OF EMERGENCY MANAGEMENT,71436
AVIATION SECURITY OFFICER,DEPARTMENT OF AVIATION,94368
PROJECT COORD,DEPARTMENT OF PLANNING AND DEVELOPMENT,75996
SERGEANT,DEPARTMENT OF POLICE,117900
POLICE OFFICER,DEPARTMENT OF POLICE,97974
CAPTAIN-EMT,FIRE DEPARTMENT,151764
POLICE OFFICER,DEPARTMENT OF POLICE,79974
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,117690
POLICE OFFICER,DEPARTMENT OF POLICE,97974
LIBRARIAN III,CHICAGO PUBLIC LIBRARY,77052
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
EPIDEMIOLOGIST III,DEPARTMENT OF PUBLIC HEALTH,141624
POLICE OFFICER,DEPARTMENT OF POLICE,104934
FIELD PAYROLL AUDITOR,DEPT STREETS AND SANITATION,66972
PUBLIC HEALTH NURSE II,DEPARTMENT OF PUBLIC HEALTH,87516
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,84612
BUILDING/CONSTRUCTION INSPECTOR,DEPT OF BUILDINGS,135684
POLICE OFFICER,DEPARTMENT OF POLICE,104934
BATTALION CHIEF - EMT,FIRE DEPARTMENT,161082
POLICE OFFICER,DEPARTMENT OF POLICE,97974
URBAN DESIGNER,DEPARTMENT OF PLANNING AND DEVELOPMENT,75852
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
POLICE OFFICER,DEPARTMENT OF POLICE,93264
ARCHITECT III,DEPARTMENT OF AVIATION,82500
SERGEANT,DEPARTMENT OF POLICE,129666
FIRE ENGINEER-EMT,FIRE DEPARTMENT,118830
TRAFFIC ENGINEER V,CHICAGO DEPT OF TRANSPORTATION,94680
FIREFIGHTER-EMT,FIRE DEPARTMENT,105936
ASST TO THE ALDERMAN,CITY COUNCIL,75000
POLICE OFFICER,DEPARTMENT OF POLICE,79974
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,104934
AIRPORT OPERATIONS SUPVSR I,DEPARTMENT OF AVIATION,73464
SERGEANT,DEPARTMENT OF POLICE,129666
POLICE OFFICER,DEPARTMENT OF POLICE,97974
FIREFIGHTER-EMT,FIRE DEPARTMENT,105936
SERGEANT,DEPARTMENT OF POLICE,112338
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,104934
REFUSE COLLECTION COORD,DEPT STREETS AND SANITATION,112668
MANAGER OF REGULATORY REVIEW,DEPT OF BUILDINGS,138384
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
GRANTS RESEARCH SPECIALIST,DEPARTMENT OF PUBLIC HEALTH,82500
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT,86016
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,93264
AMBULANCE COMMANDER,FIRE DEPARTMENT,138828
POLICE OFFICER,DEPARTMENT OF POLICE,56040
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT,101262
PARALEGAL II,DEPARTMENT OF LAW,64740
SUPT OF CONSTRUCTION AND MAINTENANCE,DEPT OF WATER MANAGEMENT,142116
FIRE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT,106200
SERGEANT,DEPARTMENT OF POLICE,125634
LIEUTENANT,DEPARTMENT OF POLICE,141552
PARAMEDIC I/C,FIRE DEPARTMENT,108096
LIBRARIAN I,CHICAGO PUBLIC LIBRARY,81000
FIREFIGHTER-EMT,FIRE DEPARTMENT,105936
AVIATION SECURITY SERGEANT,DEPARTMENT OF AVIATION,71244
DIR OF ADMINISTRATION I,DEPARTMENT OF PUBLIC HEALTH,64992
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,121140
POLICE OFFICER,DEPARTMENT OF POLICE,97974
SHIFT SUPVSR OF SECURITY COMMUNICATIONS CENTER,DEPARTMENT OF AVIATION,71124
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,84522
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,97974
SANITARY ENGINEER III,DEPT OF WATER MANAGEMENT,93804
POLICE OFFICER,DEPARTMENT OF POLICE,97974
FIREFIGHTER-EMT,FIRE DEPARTMENT,94152
DETENTION AIDE,DEPARTMENT OF POLICE,68196
POLICE OFFICER / FLD TRNG OFFICER,DEPARTMENT OF POLICE,102906
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
POLICE OFFICER / FLD TRNG OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,93264
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,97974
FIELD SANITATION INVESTIGATOR,DEPT STREETS AND SANITATION,85308
PLUMBING INSPECTOR,DEPT OF WATER MANAGEMENT,114138
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,101412
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
SERGEANT,DEPARTMENT OF POLICE,129666
POLICE OFFICER,DEPARTMENT OF POLICE,97974
LIBRARIAN III,CHICAGO PUBLIC LIBRARY,108756
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,84612
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,106170
DIR OF EMS COMPLIANCE,FIRE DEPARTMENT,126156
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
FIREFIGHTER,FIRE DEPARTMENT,103914
POLICE OFFICER,DEPARTMENT OF POLICE,79974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,94152
PARAMEDIC I/C,FIRE DEPARTMENT,108096
COMPUTER APPL ANALYST II-ELECTIONS,BOARD OF ELECTION COMMISSIONER,80784
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,117690
LIEUTENANT-EMT,FIRE DEPARTMENT,122976
CAPTAIN-EMT,FIRE DEPARTMENT,151764
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE COMMUNICATIONS OPERATOR I,OFFICE OF EMERGENCY MANAGEMENT,86016
POLICE OFFICER,DEPARTMENT OF POLICE,84522
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,97974
FIREFIGHTER-EMT,FIRE DEPARTMENT,105936
ASST TO THE ALDERMAN,CITY COUNCIL,72000
MANAGER OF WAREHOUSE OPERATIONS,DEPARTMENT OF AVIATION,125088
FIRE ENGINEER-EMT,FIRE DEPARTMENT,107166
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,109704
POLICE OFFICER,DEPARTMENT OF POLICE,97974
FIREFIGHTER-EMT,FIRE DEPARTMENT,105936
ASST CORPORATION COUNSEL II,DEPARTMENT OF LAW,92832
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,113568
RECRUITING COORDINATOR,DEPARTMENT OF HUMAN RESOURCES,73392
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
POLICE OFFICER,DEPARTMENT OF POLICE,104934
FIRE ENGINEER-EMT,FIRE DEPARTMENT,114654
PAYMENT RECONCILER,CITY CLERK,59004
FIRE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT,106200
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT,61308
PARAMEDIC I/C,FIRE DEPARTMENT,96246
POLICE OFFICER,DEPARTMENT OF POLICE,56040
PLUMBING INSPECTOR,DEPT OF BUILDINGS,114138
LIBRARIAN I,CHICAGO PUBLIC LIBRARY,73392
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,97974
CHIEF ASST CORPORATION COUNSEL,DEPARTMENT OF LAW,157284
